,1,2,3,4,5,6,7,8,9,10
Solver Status,ok,ok,ok,ok,ok,ok,ok,failed,ok,ok
Termination Condition,optimal,optimal,optimal,optimal,optimal,optimal,optimal,infeasible,optimal,optimal
"x[fg,cc,fg_sink,2]",11592000.0,0.0,11592000.0,11592000.0,11592000.0,0.0,11592000.0,0,11592000.0,11592000.0
"x[fg,cc,fg_sink,3]",0.0,0.0,11592000.0,11592000.0,11592000.0,11592000.0,0.0,0,11592000.0,11592000.0
"x[fg,cc,fg_sink,4]",11592000.0,11592000.0,11592000.0,11592000.0,11592000.0,11592000.0,11592000.0,0,0.0,0.0
"x[fg,cc,fg_sink,5]",11592000.0,11592000.0,11592000.0,11592000.0,11592000.0,11592000.0,11592000.0,0,11592000.0,11592000.0
"x[fg,rf,fg_sink,1]",3391197.08482913,3761190.0,3391197.08482914,3138646.46835667,2636224.89123531,3064675.99656945,3391197.08482914,0,3264921.77659291,3391197.08482915
"x[fg,rf,fg_sink,2]",2480105.50397572,23524.0979409059,3264921.77659291,0.0,3264921.77659291,0.0,2480105.50397572,0,0.0,2971441.73837083
"x[fg,rf,fg_sink,3]",0.0,395718.985324857,0.0,0.0,0.0,0.0,0.0,0,3044984.03574343,0.0
"x[fg,rf,fg_sink,4]",3391197.08482914,3391197.08482914,3967500.0,3967500.0,3967500.0,3967500.0,3391197.08482914,0,1983747.67077554,2340051.0003926
"x[fg,rf,fg_sink,5]",3391197.08482914,3391197.08482914,3967499.99999999,3967500.0,3967500.0,3967500.0,3391197.08482914,0,3391197.08482914,3391197.08482914
"x[fo_prod,fo_tk,fo_out,1]",10000.0,10000.0,10000.0,10000.0,29079.3956953595,10000.0,10000.0,0,10000.0,10000.0
"x[fo_prod,fo_tk,fo_out,2]",10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,10000.0,10000.0
"x[fo_prod,fo_tk,fo_out,3]",10000.0,10469.5295339251,10000.0,10000.0,10000.0,10000.0,10000.0,0,10000.0,10000.0
"x[fo_prod,fo_tk,fo_out,4]",10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,10000.0,10000.0
"x[fo_prod,fo_tk,fo_out,5]",10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,10000.0,10000.0
"x[pg_prod,pg_tk,pg_out,1]",47381.413935775,10000.0,47381.413935775,23807.7237680455,10000.0,10000.0,47381.413935775,0,35594.5688519103,47381.413935775
"x[pg_prod,pg_tk,pg_out,2]",10000.0,10000.0,35594.5688519103,10000.0,35594.5688519104,10000.0,10000.0,0,10000.0,31492.2189472329
"x[pg_prod,pg_tk,pg_out,3]",10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,42541.9465651182,10000.0
"x[pg_prod,pg_tk,pg_out,4]",47381.413935775,47381.413935775,55437.1448244546,55437.1448244545,55437.1448244545,55437.1448244545,47381.413935775,0,10000.0,17731.6729205556
"x[pg_prod,pg_tk,pg_out,5]",47381.4139357749,47381.4139357749,55437.1448244543,55437.1448244545,55437.1448244545,55437.1448244545,47381.413935775,0,47381.4139357748,47381.413935775
"x[rfg,rf,rfg_sp,1]",19830.0623485913,9471.82147849483,19830.0623485913,9968.52809717893,15415.3541214012,4403.55610497112,19830.0623485913,0,14899.2952228851,19830.0623485913
"x[rfg,rf,rfg_sp,2]",4192.37086834498,137.557422111917,14899.2952228852,0.0,14899.2952228851,8.8020847279016e-13,4192.37086834496,0,0.0,13183.1674631492
"x[rfg,rf,rfg_sp,3]",0.0,2313.97113031801,0.0,0.0,0.0,0.0,0.0,0,17805.5777263384,0.0
"x[rfg,rf,rfg_sp,4]",19830.0623485913,19830.0623485913,23200.0,23200.0,23200.0,23200.0,19830.0623485913,0,11599.9863798343,13683.4740287608
"x[rfg,rf,rfg_sp,5]",19830.0623485913,19830.0623485913,23199.9999999999,23200.0,23200.0,23200.0,19830.0623485913,0,19830.0623485913,19830.0623485913
"x[rfg,rf,rfg_tk,1]",0.0,12521.7785215051,0.0,8384.74173668993,0.0,13517.1705794426,0.0,0,4192.37086834496,0.0
"x[rfg,rf,rfg_tk,2]",10310.0734145124,0.0,4192.37086834497,0.0,4192.37086834496,0.0,10310.0734145125,0,0.0,4192.37086834498
"x[rfg,rf,rfg_tk,3]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
"x[rfg,rf,rfg_tk,4]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
"x[rfg,rf,rfg_tk,5]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
"x[rfg,rfg_sp,pg_tk,1]",19830.0623485913,5686.27450980393,19830.0623485913,9968.52809717893,5686.27450980392,4403.55610497112,19830.0623485913,0,14899.2952228851,19830.0623485913
"x[rfg,rfg_sp,pg_tk,2]",4192.37086834498,5686.27450980392,14899.2952228852,4192.37086834496,14899.2952228851,5686.27450980392,4192.37086834496,0,4192.37086834496,13183.1674631492
"x[rfg,rfg_sp,pg_tk,3]",5686.27450980388,5686.27450980392,4192.37086834497,4192.37086834497,4192.37086834496,4192.37086834498,5686.27450980392,0,17805.5777263384,4192.37086834503
"x[rfg,rfg_sp,pg_tk,4]",19830.0623485913,19830.0623485913,23200.0,23200.0,23200.0,23200.0,19830.0623485913,0,5686.27450980392,10082.7159744335
"x[rfg,rfg_sp,pg_tk,5]",19830.0623485913,19830.0623485913,23199.9999999999,23200.0,23200.0,23200.0,19830.0623485913,0,19830.0623485913,19830.0623485913
"x[rfg,rfg_sp,rg_tk,1]",0.0,3785.5469686909,0.0,0.0,9729.07961159729,0.0,0.0,0,0.0,0.0
"x[rfg,rfg_sp,rg_tk,2]",0.0,3600.75805432723,0.0,0.0,0.0,3638.52520129374,0.0,0,0.0,0.0
"x[rfg,rfg_sp,rg_tk,3]",4623.79890470854,0.0,0.0,0.0,0.0,0.0,4623.79890470856,0,0.0,0.0
"x[rfg,rfg_sp,rg_tk,4]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5913.71187003037,3600.75805432723
"x[rfg,rfg_sp,rg_tk,5]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
"x[rfg,rfg_tk,rfg_sp,1]",0.0,0.0,0.0,0.0,0.0,0.0,1.16250478184269e-11,0,0.0,-2.4875629755501e-12
"x[rfg,rfg_tk,rfg_sp,2]",0.0,9149.47514201923,0.0,4192.37086834496,0.0,9324.79971109766,0.0,0,4192.37086834496,0.0
"x[rfg,rfg_tk,rfg_sp,3]",10310.0734145124,3372.30337948591,4192.37086834497,4192.37086834497,4192.37086834496,4192.37086834498,10310.0734145125,0,0.0,4192.37086834498
"x[rfg,rfg_tk,rfg_sp,4]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
"x[rfg,rfg_tk,rfg_sp,5]",0.0,2.64558273889402e-12,0.0,0.0,2.64558273889402e-12,0.0,0.0,0,-2.64558273889402e-12,0.0
"x[rg_prod,rg_tk,rg_out,1]",22420.0467440757,42155.2997393644,22420.0467440757,37723.5739047057,27019.5316230851,46432.428212284,22420.0467440756,0,30071.8103243907,22420.0467440756
"x[rg_prod,rg_tk,rg_out,2]",46687.2479925252,10000.0,30071.8103243907,46687.2479925253,30071.8103243906,10104.8866555228,46687.2479925252,0,46687.2479925252,32734.9666966832
"x[rg_prod,rg_tk,rg_out,3]",12841.1818704449,10000.0,46687.2479925252,46687.2479925252,46687.2479925252,46687.2479925252,12841.1818704449,0,25561.7237502159,46687.2479925252
"x[rg_prod,rg_tk,rg_out,4]",22420.0467440757,22420.0467440757,17190.4413841818,17190.4413841819,17190.4413841819,17190.4413841819,22420.0467440757,0,16423.5191057159,10000.0
"x[rg_prod,rg_tk,rg_out,5]",22420.0467440757,22420.0467440757,17190.4413841819,17190.4413841819,17190.4413841819,17190.4413841819,22420.0467440757,0,22420.0467440758,22420.0467440757
"x[srds,ad,srds_sp,1]",8700.0,8700.0,8700.0,8700.0,6961.34608387592,8700.0,8700.0,0,8700.0,8700.0
"x[srds,ad,srds_sp,2]",8700.0,3451.95617377996,8700.0,8700.0,8700.0,3473.58357098143,8700.0,0,8700.0,8700.0
"x[srds,ad,srds_sp,3]",4037.80161357824,3015.09898645448,8700.0,8700.0,8700.0,8700.0,4037.80161357824,0,8700.0,8700.0
"x[srds,ad,srds_sp,4]",8700.0,8700.0,8700.0,8700.0,8700.0,8700.0,8700.0,0,4776.47165611741,4526.64186513388
"x[srds,ad,srds_sp,5]",8700.0,8700.0,8700.0,8700.0,8700.0,8700.0,8700.0,0,8700.0,8700.0
"x[srds,srds_sp,cc,1]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
"x[srds,srds_sp,cc,2]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
"x[srds,srds_sp,cc,3]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
"x[srds,srds_sp,cc,4]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
"x[srds,srds_sp,cc,5]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
"x[srds,srds_sp,df_tk,1]",8497.10982658959,8497.1098265896,8700.0,8700.0,6961.34608387592,8497.10982658959,8497.10982658955,0,8497.10982658959,8497.1098265896
"x[srds,srds_sp,df_tk,2]",6782.51104967315,3451.95617377996,8700.0,8700.0,8700.0,3473.58357098143,6782.51104967317,0,5900.0,8427.65862418741
"x[srds,srds_sp,df_tk,3]",4037.80161357824,3015.09898645448,8700.0,0.0,8700.0,8700.0,4037.80161357824,0,5900.0,5900.0
"x[srds,srds_sp,df_tk,4]",8700.0,8700.0,8700.0,8700.0,8700.0,8700.0,8700.0,0,4776.47165611741,4526.64186513388
"x[srds,srds_sp,df_tk,5]",5900.0,5900.0,5900.0,8700.0,8700.0,5900.0,5900.0,0,5900.0,5900.0
"x[srds,srds_sp,fo_tk,1]",202.890173410408,202.890173410404,0.0,0.0,0.0,202.890173410407,202.890173410452,0,202.890173410405,202.890173410402
"x[srds,srds_sp,fo_tk,2]",1917.48895032685,0.0,0.0,0.0,0.0,0.0,1917.48895032683,0,2800.0,272.341375812592
